; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.488431500,0.025431500,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488608060,0.025608060,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.488608080,0.025608080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488608160,0.025608160,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.488608180,0.025608180,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488608200,0.025608200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488784980,0.025784980,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488961540,0.025961540,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.488961560,0.025961560,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.489138100,0.026138100,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.489314640,0.026314640,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.489491180,0.026491180,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.489668120,0.026668120,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.489844680,0.026844680,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490021240,0.027021240,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490197800,0.027197800,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490374360,0.027374360,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490374380,0.027374380,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490550940,0.027550940,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490727920,0.027727920,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.490904500,0.027904500,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491081060,0.028081060,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491257640,0.028257640,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491434220,0.028434220,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491434320,0.028434320,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491434340,0.028434340,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491610780,0.028610780,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491787740,0.028787740,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.491964320,0.028964320,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.492140880,0.029140880,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.492317440,0.029317440,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.492494020,0.029494020,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.492670940,0.029670940,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.492847500,0.029847500,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.492847520,0.029847520,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493024080,0.030024080,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493200640,0.030200640,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493200660,0.030200660,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493377200,0.030377200,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493553780,0.030553780,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493730700,0.030730700,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.493907240,0.030907240,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494083780,0.031083780,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494260320,0.031260320,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.494260340,0.031260340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494260420,0.031260420,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494260440,0.031260440,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.494260460,0.031260460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
